issue_id,nr_fields_in_issue
49496,57
49912,58
49913,58
49914,54
49915,53
49916,53
49917,55
49918,53
49919,54
49921,53
49933,55
49934,53
49963,56
49977,55
50073,58
51080,58
51136,57
51171,56
51172,54
51195,55
51196,54
51197,54
51198,54
51199,59
51200,56
51201,57
51222,58
51223,56
51224,56
51225,57
51226,59
51227,55
51228,58
51229,57
51230,56
51231,56
51232,57
51233,56
51234,57
51235,57
51240,53
51241,53
51242,53
51243,54
51244,53
51245,53
51246,53
51247,53
51248,53
51249,53
51250,53
51251,53
51252,53
51253,53
51254,53
51255,53
51256,53
51257,53
51258,53
51392,56
51410,56
51417,56
51418,56
51420,56
51421,56
51594,53
51608,57
51644,56
51751,56
51752,54
51753,54
51754,55
51755,52
51763,55
51767,53
51768,53
51770,53
51835,54
51836,55
51837,53
51838,55
51839,54
51840,54
51841,54
51857,56
51859,53
51928,52
52030,53
52031,54
52033,54
52034,56
52222,57
52223,54
52233,54
52263,54
52297,54
52298,54
52589,55
52590,54
52594,58
52595,56
52596,55
52597,55
52598,56
52599,55
52600,54
52601,56
52621,55
52624,55
52629,54
52631,56
52635,56
52636,55
52673,57
52674,58
52675,57
52676,57
52677,57
52678,57
52679,56
52681,57
52684,51
52685,56
52686,56
52688,56
52689,51
52699,51
52738,57
52776,54
52777,52
52868,55
52874,65
52878,67
52888,55
52936,55
52937,53
52938,53
52939,52
52940,52
52941,52
52942,52
52943,54
52999,53
53000,53
53005,53
53006,53
53138,55
53142,52
53143,55
53144,53
53145,55
53146,55
53147,54
53148,54
53152,54
53157,55
53158,54
53159,56
53160,54
53161,54
53162,54
53163,55
53165,54
53167,55
53168,53
53424,56
53425,56
53426,54
53444,54
53445,54
53446,54
53447,55
53448,55
53469,56
53470,55
53471,55
53472,55
53473,55
53474,56
53476,56
53477,56
53478,55
53482,55
53483,54
53500,54
53649,58
53652,57
53653,56
53662,57
53663,56
53670,56
53671,56
53672,57
53679,57
53759,54
53762,57
53842,57
53846,57
53852,58
53964,55
53968,54
53991,55
54058,54
54059,54
54062,54
54063,54
54135,55
54136,55
54138,55
54139,55
54140,55
54141,55
54143,55
54144,55
54145,55
54146,55
54147,55
54148,55
54149,55
54150,55
54151,55
54153,55
54154,55
54155,55
54156,55
54157,55
54158,56
54159,56
54160,56
54161,56
54162,56
54163,56
54164,55
54165,55
54166,55
54167,55
54189,54
54201,54
54207,56
54208,56
54209,55
54210,55
54211,55
54212,55
54213,55
54214,55
54292,53
54397,55
54425,54
54426,54
54428,54
54431,54
54432,54
54433,53
54434,53
54435,53
54436,53
54437,53
54438,53
54439,53
54440,53
54441,53
54442,53
54443,53
54444,53
54445,53
54446,53
54447,53
54448,53
54449,53
54450,53
54922,59
54923,59
54924,59
54925,59
54926,59
54927,59
54928,59
54930,59
54931,60
54932,59
54933,59
54934,59
54935,59
54936,59
54937,60
54938,60
54939,61
54940,60
54941,61
54942,61
54944,61
54945,61
54946,61
54947,62
54949,62
54950,62
54951,62
54968,60
54971,61
54972,60
54973,60
54976,60
54977,60
54978,60
54979,60
55453,61
55459,61
55468,61
55475,61
55476,61
55477,61
55479,62
55506,61
55508,61
55509,60
55511,59
55512,61
55513,61
55517,59
55518,58
55532,63
55533,63
55534,63
55551,61
55554,61
55555,61
55556,61
55576,62
55577,61
55578,61
55579,61
55580,61
55581,61
55582,60
55598,64
55609,61
55614,61
55641,61
55642,61
55646,63
55647,63
55648,63
55649,63
55650,63
55651,63
55652,63
55653,63
55657,63
55658,63
55659,64
55700,60
55701,60
55702,59
55703,59
55704,59
55705,59
55706,59
55707,61
55708,59
55709,59
55710,59
55711,60
55712,60
55713,60
55714,60
55716,60
55717,60
55718,60
55719,60
55814,63
55867,61
55868,60
55869,60
55870,64
56139,63
56480,63
56516,61
56517,61
56520,61
56521,61
56524,62
56525,62
56528,62
56529,62
56530,62
56531,62
56535,62
56537,62
56539,61
56596,62
56597,62
56598,62
56599,62
56600,62
56661,62
